First column is x axis and 2nd column is y axis, separated by comma.
Comments line 2
Comments line 3
-0.1, 0
-0.09, 0
-0.08, 0
-0.07, 0
-0.06, 2
-0.05, 11
-0.04, 32
-0.03, 89
-0.02, 205
-0.01, 354
0, 551
0.01, 754
0.02, 909
0.03, 893
0.04, 727
0.05, 524
0.06, 342
0.07, 210
0.08, 191
0.09, 220
0.1, 303
0.11, 414
0.12, 538
0.13, 685
0.14, 847
0.15, 898
0.16, 931
0.17, 948
0.18, 954
0.19, 1042
0.2, 1249
0.21, 1763
0.22, 2875
0.23, 4671
0.24, 7238
0.25, 10101
0.26, 12556
0.27, 13726
0.28, 13055
0.29, 10502
0.3, 7206
0.31, 4526
0.32, 2607
0.33, 1411
0.34, 917
0.35, 727
0.36, 702
0.37, 762
0.38, 818
0.39, 849
0.4, 873
0.41, 918
0.42, 982
0.43, 1071
0.44, 1129
0.45, 1199
0.46, 1331
0.47, 1554
0.48, 1882
0.49, 2401
0.5, 3100
0.51, 3729
0.52, 4470
0.53, 5135
0.54, 5574
0.55, 5629
0.56, 5502
0.57, 5310
0.58, 5391
0.59, 5842
0.6, 6999
0.61, 8779
0.62, 10623
0.63, 11788
0.64, 11802
0.65, 10615
0.66, 8667
0.67, 6409
0.68, 4475
0.69, 3180
0.7, 2318
0.71, 1809
0.72, 1636
0.73, 1591
0.74, 1469
0.75, 1422
0.76, 1443
0.77, 1501
0.78, 1596
0.79, 1726
0.8, 1902
0.81, 1981
0.82, 1973
0.83, 1963
0.84, 1955
0.85, 1959
0.86, 2192
0.87, 2659
0.88, 3448
0.89, 4834
0.9, 6686
0.91, 8637
0.92, 10368
0.93, 11401
0.94, 11352
0.95, 10365
0.96, 8620
0.97, 6738
0.98, 5136
0.99, 3681
1, 2661
1.01, 2111
1.02, 1788
1.03, 1611
1.04, 1549
1.05, 1462
1.06, 1414
1.07, 1425
1.08, 1383
1.09, 1387
1.1, 1400
1.11, 1367
1.12, 1359
1.13, 1393
1.14, 1408
1.15, 1404
1.16, 1461
1.17, 1499
1.18, 1519
1.19, 1566
1.2, 1523
1.21, 1471
1.22, 1444
1.23, 1434
1.24, 1446
1.25, 1468
1.26, 1477
1.27, 1481
1.28, 1481
1.29, 1428
1.3, 1431
1.31, 1456
1.32, 1451
1.33, 1455
1.34, 1435
1.35, 1432
1.36, 1477
1.37, 1502
1.38, 1491
1.39, 1538
1.4, 1654
1.41, 1887
1.42, 2334
1.43, 2974
1.44, 3923
1.45, 5177
1.46, 6595
1.47, 7897
1.48, 8740
1.49, 9066
1.5, 8806
1.51, 7887
1.52, 6509
1.53, 5251
1.54, 4069
1.55, 3048
1.56, 2398
1.57, 1957
1.58, 1712
1.59, 1564
1.6, 1477
1.61, 1407
1.62, 1345
1.63, 1289
1.64, 1286
1.65, 1296
1.66, 1238
1.67, 1218
1.68, 1261
1.69, 1274
1.7, 1250
1.71, 1304
1.72, 1378
1.73, 1393
1.74, 1441
1.75, 1537
1.76, 1629
1.77, 1656
1.78, 1618
1.79, 1656
1.8, 1685
1.81, 1607
1.82, 1542
1.83, 1499
1.84, 1426
1.85, 1392
1.86, 1372
1.87, 1280
1.88, 1262
1.89, 1311
1.9, 1294
1.91, 1253
1.92, 1259
1.93, 1318
1.94, 1389
1.95, 1513
1.96, 1781
1.97, 2216
1.98, 2761
1.99, 3567
2, 4657
2.01, 5871
2.02, 7011
2.03, 7836
2.04, 8323
2.05, 8524
2.06, 8384
2.07, 7920
2.08, 7145
2.09, 6419
2.1, 5961
2.11, 5516
2.12, 5183
2.13, 4815
2.14, 4418
2.15, 3996
2.16, 3614
2.17, 3163
2.18, 2683
2.19, 2344
2.2, 2078
2.21, 1877
2.22, 1717
2.23, 1593
2.24, 1430
2.25, 1303
2.26, 1253
2.27, 1211
2.28, 1172
2.29, 1097
2.3, 1055
2.31, 1069
2.32, 1053
2.33, 1018
2.34, 992
2.35, 972
2.36, 959
2.37, 948
2.38, 932
2.39, 931
2.4, 933
2.41, 942
2.42, 928
2.43, 923
2.44, 910
2.45, 867
2.46, 874
2.47, 915
2.48, 895
2.49, 843
2.5, 847
2.51, 881
2.52, 930
2.53, 913
2.54, 864
2.55, 855
2.56, 833
2.57, 842
2.58, 839
2.59, 833
2.6, 850
2.61, 820
2.62, 793
2.63, 803
2.64, 780
2.65, 778
2.66, 783
2.67, 787
2.68, 785
2.69, 786
2.7, 781
2.71, 781
2.72, 779
2.73, 763
2.74, 765
2.75, 759
2.76, 752
2.77, 719
2.78, 733
2.79, 773
2.8, 742
2.81, 727
2.82, 731
2.83, 728
2.84, 722
2.85, 756
2.86, 742
2.87, 744
2.88, 758
2.89, 763
2.9, 802
2.91, 837
2.92, 923
2.93, 991
2.94, 1057
2.95, 1103
2.96, 1091
2.97, 1107
2.98, 1087
2.99, 1034
3, 968
3.01, 905
3.02, 814
3.03, 755
3.04, 731
3.05, 719
3.06, 726
3.07, 697
3.08, 657
3.09, 677
3.1, 657
3.11, 622
3.12, 628
3.13, 665
3.14, 648
3.15, 674
3.16, 678
3.17, 674
3.18, 670
3.19, 662
3.2, 662
3.21, 661
3.22, 662
3.23, 672
3.24, 653
3.25, 626
3.26, 641
3.27, 619
3.28, 603
3.29, 611
3.3, 597
3.31, 592
3.32, 593
3.33, 596
3.34, 590
3.35, 575
3.36, 572
3.37, 543
3.38, 581
3.39, 603
3.4, 575
3.41, 604
3.42, 617
3.43, 600
3.44, 584
3.45, 573
3.46, 576
3.47, 573
3.48, 577
3.49, 568
3.5, 566
3.51, 558
3.52, 559
3.53, 568
3.54, 576
3.55, 564
3.56, 548
3.57, 572
3.58, 566
3.59, 553
3.6, 544
3.61, 560
3.62, 536
3.63, 528
3.64, 509
3.65, 539
3.66, 540
3.67, 523
3.68, 491
3.69, 494
3.7, 520
3.71, 518
3.72, 506
3.73, 517
3.74, 512
3.75, 511
3.76, 516
3.77, 531
3.78, 535
3.79, 505
3.8, 487
3.81, 489
3.82, 465
3.83, 473
3.84, 492
3.85, 488
3.86, 486
3.87, 492
3.88, 485
3.89, 462
3.9, 463
3.91, 442
3.92, 460
3.93, 495
3.94, 447
3.95, 424
3.96, 459
3.97, 470
3.98, 453
3.99, 485
4, 482
4.01, 455
4.02, 449
4.03, 439
4.04, 433
4.05, 440
4.06, 439
4.07, 448
4.08, 471
4.09, 460
4.1, 450
4.11, 463
4.12, 465
4.13, 470
4.14, 475
4.15, 453
4.16, 458
4.17, 447
4.18, 431
4.19, 407
4.2, 419
4.21, 418
4.22, 436
4.23, 420
4.24, 410
4.25, 403
4.26, 405
4.27, 402
4.28, 395
4.29, 405
4.3, 400
4.31, 411
4.32, 399
4.33, 379
4.34, 389
4.35, 396
4.36, 395
4.37, 420
4.38, 404
4.39, 388
4.4, 382
4.41, 353
4.42, 368
4.43, 379
4.44, 381
4.45, 363
4.46, 360
4.47, 389
4.48, 389
4.49, 362
4.5, 366
4.51, 357
4.52, 355
4.53, 374
4.54, 343
4.55, 333
4.56, 346
4.57, 338
4.58, 351
4.59, 358
4.6, 359
4.61, 357
4.62, 362
4.63, 347
4.64, 334
4.65, 356
4.66, 347
4.67, 346
4.68, 340
4.69, 329
4.7, 321
4.71, 332
4.72, 340
4.73, 334
4.74, 332
4.75, 329
4.76, 352
4.77, 335
4.78, 309
4.79, 303
4.8, 317
4.81, 326
4.82, 318
4.83, 341
4.84, 334
4.85, 329
4.86, 318
4.87, 332
4.88, 332
4.89, 313
4.9, 314
4.91, 315
4.92, 305
4.93, 292
4.94, 312
4.95, 303
4.96, 325
4.97, 316
4.98, 312
4.99, 291
5, 257
5.01, 300
5.02, 279
5.03, 289
5.04, 306
5.05, 314
5.06, 306
5.07, 273
5.08, 293
5.09, 294
5.1, 297
5.11, 276
5.12, 278
5.13, 269
5.14, 272
5.15, 297
5.16, 294
5.17, 295
5.18, 289
5.19, 269
5.2, 261
5.21, 276
5.22, 285
5.23, 305
5.24, 300
5.25, 252
5.26, 243
5.27, 252
5.28, 264
5.29, 260
5.3, 262
5.31, 277
5.32, 249
5.33, 229
5.34, 232
5.35, 287
5.36, 287
5.37, 254
5.38, 267
5.39, 286
5.4, 261
5.41, 251
5.42, 274
5.43, 253
5.44, 265
5.45, 274
5.46, 272
5.47, 260
5.48, 251
5.49, 265
5.5, 259
5.51, 246
5.52, 259
5.53, 248
5.54, 245
5.55, 251
5.56, 260
5.57, 241
5.58, 247
5.59, 240
5.6, 241
5.61, 254
5.62, 239
5.63, 226
5.64, 253
5.65, 274
5.66, 244
5.67, 244
5.68, 235
5.69, 230
5.7, 253
5.71, 254
5.72, 270
5.73, 282
5.74, 307
5.75, 349
5.76, 390
5.77, 490
5.78, 611
5.79, 768
5.8, 962
5.81, 1191
5.82, 1562
5.83, 1856
5.84, 2246
5.85, 2592
5.86, 2975
5.87, 3330
5.88, 3547
5.89, 3619
5.9, 3639
5.91, 3584
5.92, 3316
5.93, 3135
5.94, 2828
5.95, 2384
5.96, 2036
5.97, 1697
5.98, 1352
5.99, 1049
6, 837
6.01, 672
6.02, 495
6.03, 434
6.04, 345
6.05, 308
6.06, 251
6.07, 250
6.08, 223
6.09, 229
6.1, 236
6.11, 255
6.12, 241
6.13, 216
6.14, 241
6.15, 236
6.16, 251
6.17, 255
6.18, 235
6.19, 216
6.2, 248
6.21, 236
6.22, 218
6.23, 212
6.24, 210
6.25, 207
6.26, 198
6.27, 182
6.28, 192
6.29, 204
6.3, 194
6.31, 185
6.32, 215
6.33, 219
6.34, 230
6.35, 223
6.36, 245
6.37, 273
6.38, 295
6.39, 295
6.4, 334
6.41, 371
6.42, 395
6.43, 473
6.44, 508
6.45, 509
6.46, 577
6.47, 601
6.48, 638
6.49, 647
6.5, 623
6.51, 592
6.52, 560
6.53, 530
6.54, 462
6.55, 416
6.56, 369
6.57, 359
6.58, 290
6.59, 264
6.6, 225
6.61, 203
6.62, 191
6.63, 167
6.64, 153
6.65, 156
6.66, 149
6.67, 163
6.68, 146
6.69, 176
6.7, 172
6.71, 153
6.72, 157
6.73, 143
6.74, 157
6.75, 161
6.76, 152
6.77, 161
6.78, 160
6.79, 155
6.8, 162
6.81, 162
6.82, 155
6.83, 148
6.84, 150
6.85, 149
6.86, 139
6.87, 156
6.88, 153
6.89, 149
6.9, 161
6.91, 154
6.92, 139
6.93, 142
6.94, 143
6.95, 138
6.96, 129
6.97, 140
6.98, 134
6.99, 146
7, 139
7.01, 133
7.02, 121
7.03, 132
7.04, 122
7.05, 133
7.06, 129
7.07, 131
7.08, 134
7.09, 158
7.1, 132
7.11, 124
7.12, 115
7.13, 138
7.14, 119
7.15, 115
7.16, 118
7.17, 147
7.18, 132
7.19, 132
7.2, 113
7.21, 122
7.22, 134
7.23, 113
7.24, 110
7.25, 120
7.26, 116
7.27, 114
7.28, 122
7.29, 129
7.3, 136
7.31, 123
7.32, 106
7.33, 125
7.34, 117
7.35, 131
7.36, 131
7.37, 136
7.38, 126
7.39, 120
7.4, 109
7.41, 122
7.42, 115
7.43, 101
7.44, 117
7.45, 111
7.46, 112
7.47, 119
7.48, 113
7.49, 110
7.5, 129
7.51, 114
7.52, 86
7.53, 93
7.54, 102
7.55, 113
7.56, 96
7.57, 84
7.58, 91
7.59, 116
7.6, 88
7.61, 86
7.62, 112
7.63, 93
7.64, 92
7.65, 110
7.66, 101
7.67, 98
7.68, 88
7.69, 93
7.7, 94
7.71, 87
7.72, 78
7.73, 89
7.74, 88
7.75, 95
7.76, 109
7.77, 87
7.78, 93
7.79, 91
7.8, 87
7.81, 90
7.82, 91
7.83, 84
7.84, 91
7.85, 89
7.86, 108
7.87, 108
7.88, 96
7.89, 93
7.9, 92
7.91, 93
7.92, 106
7.93, 112
7.94, 115
7.95, 120
7.96, 142
7.97, 118
7.98, 111
7.99, 137
8, 155
8.01, 150
8.02, 154
8.03, 161
8.04, 179
8.05, 154
8.06, 167
8.07, 148
8.08, 140
8.09, 141
8.1, 124
8.11, 140
8.12, 122
8.13, 90
8.14, 76
8.15, 90
8.16, 95
8.17, 93
8.18, 76
8.19, 75
8.2, 72
8.21, 72
8.22, 68
8.23, 72
8.24, 71
8.25, 71
8.26, 76
8.27, 66
8.28, 66
8.29, 71
8.3, 49
8.31, 72
8.32, 70
8.33, 63
8.34, 69
8.35, 74
8.36, 63
8.37, 69
8.38, 54
8.39, 61
8.4, 61
8.41, 56
8.42, 58
8.43, 58
8.44, 58
8.45, 56
8.46, 74
8.47, 66
8.48, 70
8.49, 69
8.5, 69
8.51, 46
8.52, 65
8.53, 48
8.54, 50
8.55, 62
8.56, 56
8.57, 64
8.58, 60
8.59, 62
8.6, 62
8.61, 71
8.62, 67
8.63, 65
8.64, 53
8.65, 53
8.66, 50
8.67, 54
8.68, 63
8.69, 35
8.7, 43
8.71, 49
8.72, 50
8.73, 52
8.74, 49
8.75, 55
8.76, 56
8.77, 54
8.78, 48
8.79, 50
8.8, 48
8.81, 38
8.82, 53
8.83, 60
8.84, 64
8.85, 45
8.86, 51
8.87, 67
8.88, 51
8.89, 60
8.9, 49
8.91, 43
8.92, 54
8.93, 57
8.94, 43
8.95, 48
8.96, 49
8.97, 40
8.98, 44
8.99, 52
9, 46
9.01, 41
9.02, 39
9.03, 34
9.04, 45
9.05, 23
9.06, 42
9.07, 38
9.08, 25
9.09, 48
9.1, 30
9.11, 33
9.12, 38
9.13, 19
9.14, 37
9.15, 22
9.16, 25
9.17, 34
9.18, 28
9.19, 47
9.2, 41
9.21, 39
9.22, 16
9.23, 29
9.24, 31
9.25, 23
9.26, 25
9.27, 39
9.28, 25
9.29, 27
9.3, 24
9.31, 34
9.32, 25
9.33, 37
9.34, 22
9.35, 26
9.36, 18
9.37, 27
9.38, 22
9.39, 27
9.4, 27
9.41, 28
9.42, 14
9.43, 21
9.44, 16
9.45, 23
9.46, 26
9.47, 27
9.48, 24
9.49, 23
9.5, 15
9.51, 24
9.52, 22
9.53, 23
9.54, 27
9.55, 27
9.56, 9
9.57, 16
9.58, 15
9.59, 24
9.6, 15
9.61, 18
9.62, 14
9.63, 19
9.64, 20
9.65, 15
9.66, 12
9.67, 14
9.68, 12
9.69, 9
9.7, 15
9.71, 14
9.72, 21
9.73, 5
9.74, 16
9.75, 11
9.76, 12
9.77, 12
9.78, 11
9.79, 18
9.8, 7
9.81, 12
9.82, 8
9.83, 10
9.84, 10
9.85, 7
9.86, 7
9.87, 19
9.88, 3
9.89, 5
9.9, 9
9.91, 3
9.92, 7
9.93, 9
9.94, 3
9.95, 6
9.96, 2
9.97, 7
9.98, 2
9.99, 2
10, 6
10.01, 4
10.02, 5
10.03, 6
10.04, 7
10.05, 6
10.06, 2
10.07, 6
10.08, 2
10.09, 7
10.1, 5
10.11, 8
10.12, 0
10.13, 0
